tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
1250000,5000,0,1,1,8090,branch
1250000,5000,0.05,1,1,12606,branch
1250000,5000,0.1,1,1,18022,branch
1250000,5000,0.15,1,1,23348,branch
1250000,5000,0.2,1,1,29832,branch
1250000,5000,0.25,1,1,35475,branch
1250000,5000,0.3,1,1,41373,branch
1250000,5000,0.35,1,1,47312,branch
1250000,5000,0.4,1,1,52880,branch
1250000,5000,0.45,1,1,58695,branch
1250000,5000,0.5,1,1,63527,branch
1250000,5000,0.55,1,1,68170,branch
1250000,5000,0.6,1,1,72290,branch
1250000,5000,0.65,1,1,76542,branch
1250000,5000,0.7,1,1,80977,branch
1250000,5000,0.75,1,1,85488,branch
1250000,5000,0.8,1,1,89553,branch
1250000,5000,0.85,1,1,94312,branch
1250000,5000,0.9,1,1,99389,branch
1250000,5000,0.95,1,1,103476,branch
1250000,5000,1,1,1,108538,branch
156250,5000,0,8,1,1860,branch
156250,5000,0,8,2,1605,branch
156250,5000,0,8,4,2213,branch
156250,5000,0,8,8,3089,branch
156250,5000,0.049984,8,1,1813,branch
156250,5000,0.049984,8,2,2113,branch
156250,5000,0.049984,8,4,2716,branch
156250,5000,0.049984,8,8,3574,branch
156250,5000,0.099968,8,1,2267,branch
156250,5000,0.099968,8,2,2580,branch
156250,5000,0.099968,8,4,3228,branch
156250,5000,0.099968,8,8,4070,branch
156250,5000,0.149952,8,1,2850,branch
156250,5000,0.149952,8,2,3102,branch
156250,5000,0.149952,8,4,3770,branch
156250,5000,0.149952,8,8,4579,branch
156250,5000,0.199936,8,1,3361,branch
156250,5000,0.199936,8,2,3672,branch
156250,5000,0.199936,8,4,4299,branch
156250,5000,0.199936,8,8,5149,branch
156250,5000,0.24992,8,1,4181,branch
156250,5000,0.24992,8,2,4288,branch
156250,5000,0.24992,8,4,4943,branch
156250,5000,0.24992,8,8,5803,branch
156250,5000,0.299904,8,1,4689,branch
156250,5000,0.299904,8,2,4929,branch
156250,5000,0.299904,8,4,5529,branch
156250,5000,0.299904,8,8,6400,branch
156250,5000,0.349888,8,1,5308,branch
156250,5000,0.349888,8,2,5585,branch
156250,5000,0.349888,8,4,6216,branch
156250,5000,0.349888,8,8,7122,branch
156250,5000,0.399872,8,1,5943,branch
156250,5000,0.399872,8,2,6288,branch
156250,5000,0.399872,8,4,7015,branch
156250,5000,0.399872,8,8,7916,branch
156250,5000,0.449856,8,1,6602,branch
156250,5000,0.449856,8,2,6922,branch
156250,5000,0.449856,8,4,7561,branch
156250,5000,0.449856,8,8,8484,branch
156250,5000,0.49984,8,1,7171,branch
156250,5000,0.49984,8,2,7509,branch
156250,5000,0.49984,8,4,8164,branch
156250,5000,0.49984,8,8,8979,branch
156250,5000,0.549824,8,1,7711,branch
156250,5000,0.549824,8,2,8096,branch
156250,5000,0.549824,8,4,8750,branch
156250,5000,0.549824,8,8,9545,branch
156250,5000,0.599808,8,1,8162,branch
156250,5000,0.599808,8,2,8609,branch
156250,5000,0.599808,8,4,9223,branch
156250,5000,0.599808,8,8,10057,branch
156250,5000,0.649792,8,1,8649,branch
156250,5000,0.649792,8,2,9135,branch
156250,5000,0.649792,8,4,9729,branch
156250,5000,0.649792,8,8,10698,branch
156250,5000,0.699776,8,1,9153,branch
156250,5000,0.699776,8,2,9613,branch
156250,5000,0.699776,8,4,10273,branch
156250,5000,0.699776,8,8,11242,branch
156250,5000,0.74976,8,1,9671,branch
156250,5000,0.74976,8,2,10095,branch
156250,5000,0.74976,8,4,10751,branch
156250,5000,0.74976,8,8,11623,branch
156250,5000,0.799744,8,1,10134,branch
156250,5000,0.799744,8,2,10552,branch
156250,5000,0.799744,8,4,11306,branch
156250,5000,0.799744,8,8,12161,branch
156250,5000,0.849728,8,1,10673,branch
156250,5000,0.849728,8,2,11134,branch
156250,5000,0.849728,8,4,11877,branch
156250,5000,0.849728,8,8,12747,branch
156250,5000,0.899712,8,1,11175,branch
156250,5000,0.899712,8,2,11640,branch
156250,5000,0.899712,8,4,12441,branch
156250,5000,0.899712,8,8,13273,branch
156250,5000,0.949696,8,1,11701,branch
156250,5000,0.949696,8,2,12197,branch
156250,5000,0.949696,8,4,13004,branch
156250,5000,0.949696,8,8,13877,branch
156250,5000,0.99968,8,1,12285,branch
156250,5000,0.99968,8,2,12737,branch
156250,5000,0.99968,8,4,13515,branch
156250,5000,0.99968,8,8,14437,branch
78125,5000,0,16,1,1060,branch
78125,5000,0,16,2,1086,branch
78125,5000,0,16,4,1369,branch
78125,5000,0,16,8,1819,branch
78125,5000,0,16,16,2794,branch
78125,5000,0.049984,16,1,1186,branch
78125,5000,0.049984,16,2,1350,branch
78125,5000,0.049984,16,4,1631,branch
78125,5000,0.049984,16,8,2072,branch
78125,5000,0.049984,16,16,3080,branch
78125,5000,0.099968,16,1,1489,branch
78125,5000,0.099968,16,2,1608,branch
78125,5000,0.099968,16,4,1891,branch
78125,5000,0.099968,16,8,2320,branch
78125,5000,0.099968,16,16,3343,branch
78125,5000,0.149952,16,1,1697,branch
78125,5000,0.149952,16,2,1874,branch
78125,5000,0.149952,16,4,2182,branch
78125,5000,0.149952,16,8,2683,branch
78125,5000,0.149952,16,16,3664,branch
78125,5000,0.199936,16,1,1983,branch
78125,5000,0.199936,16,2,2152,branch
78125,5000,0.199936,16,4,2422,branch
78125,5000,0.199936,16,8,2854,branch
78125,5000,0.199936,16,16,3891,branch
78125,5000,0.24992,16,1,2230,branch
78125,5000,0.24992,16,2,2401,branch
78125,5000,0.24992,16,4,2708,branch
78125,5000,0.24992,16,8,3125,branch
78125,5000,0.24992,16,16,4128,branch
78125,5000,0.299904,16,1,2546,branch
78125,5000,0.299904,16,2,2693,branch
78125,5000,0.299904,16,4,3000,branch
78125,5000,0.299904,16,8,3409,branch
78125,5000,0.299904,16,16,4467,branch
78125,5000,0.349888,16,1,2831,branch
78125,5000,0.349888,16,2,2994,branch
78125,5000,0.349888,16,4,3280,branch
78125,5000,0.349888,16,8,3695,branch
78125,5000,0.349888,16,16,4721,branch
78125,5000,0.399872,16,1,3163,branch
78125,5000,0.399872,16,2,3304,branch
78125,5000,0.399872,16,4,3611,branch
78125,5000,0.399872,16,8,4019,branch
78125,5000,0.399872,16,16,5029,branch
78125,5000,0.449856,16,1,3482,branch
78125,5000,0.449856,16,2,3696,branch
78125,5000,0.449856,16,4,3912,branch
78125,5000,0.449856,16,8,4328,branch
78125,5000,0.449856,16,16,5357,branch
78125,5000,0.49984,16,1,3806,branch
78125,5000,0.49984,16,2,3932,branch
78125,5000,0.49984,16,4,4200,branch
78125,5000,0.49984,16,8,4705,branch
78125,5000,0.49984,16,16,5818,branch
78125,5000,0.549824,16,1,4038,branch
78125,5000,0.549824,16,2,4203,branch
78125,5000,0.549824,16,4,4497,branch
78125,5000,0.549824,16,8,4883,branch
78125,5000,0.549824,16,16,5985,branch
78125,5000,0.599808,16,1,4236,branch
78125,5000,0.599808,16,2,4460,branch
78125,5000,0.599808,16,4,4678,branch
