tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
1250000,5000,0,1,1,7512,branch
1250000,5000,0.05,1,1,11336,branch
1250000,5000,0.1,1,1,15236,branch
1250000,5000,0.15,1,1,19500,branch
1250000,5000,0.2,1,1,23603,branch
1250000,5000,0.25,1,1,27566,branch
1250000,5000,0.3,1,1,31413,branch
1250000,5000,0.35,1,1,35328,branch
1250000,5000,0.4,1,1,39227,branch
1250000,5000,0.45,1,1,42879,branch
1250000,5000,0.5,1,1,45799,branch
1250000,5000,0.55,1,1,48609,branch
1250000,5000,0.6,1,1,51138,branch
1250000,5000,0.65,1,1,53912,branch
1250000,5000,0.7,1,1,56724,branch
1250000,5000,0.75,1,1,59692,branch
1250000,5000,0.8,1,1,62506,branch
1250000,5000,0.85,1,1,65966,branch
1250000,5000,0.9,1,1,69519,branch
1250000,5000,0.95,1,1,72926,branch
1250000,5000,1,1,1,76972,branch
156250,5000,0,8,1,1334,branch
156250,5000,0,8,2,1480,branch
156250,5000,0,8,4,1980,branch
156250,5000,0,8,8,3001,branch
156250,5000,0.049984,8,1,1503,branch
156250,5000,0.049984,8,2,1807,branch
156250,5000,0.049984,8,4,2334,branch
156250,5000,0.049984,8,8,3396,branch
156250,5000,0.099968,8,1,1824,branch
156250,5000,0.099968,8,2,2145,branch
156250,5000,0.099968,8,4,2656,branch
156250,5000,0.099968,8,8,3674,branch
156250,5000,0.149952,8,1,2179,branch
156250,5000,0.149952,8,2,2517,branch
156250,5000,0.149952,8,4,3031,branch
156250,5000,0.149952,8,8,4083,branch
156250,5000,0.199936,8,1,2595,branch
156250,5000,0.199936,8,2,2906,branch
156250,5000,0.199936,8,4,3425,branch
156250,5000,0.199936,8,8,4450,branch
156250,5000,0.24992,8,1,3010,branch
156250,5000,0.24992,8,2,3376,branch
156250,5000,0.24992,8,4,3896,branch
156250,5000,0.24992,8,8,4935,branch
156250,5000,0.299904,8,1,3389,branch
156250,5000,0.299904,8,2,3819,branch
156250,5000,0.299904,8,4,4336,branch
156250,5000,0.299904,8,8,5371,branch
156250,5000,0.349888,8,1,3804,branch
156250,5000,0.349888,8,2,4266,branch
156250,5000,0.349888,8,4,4792,branch
156250,5000,0.349888,8,8,5841,branch
156250,5000,0.399872,8,1,4210,branch
156250,5000,0.399872,8,2,4675,branch
156250,5000,0.399872,8,4,5582,branch
156250,5000,0.399872,8,8,6632,branch
156250,5000,0.449856,8,1,4529,branch
156250,5000,0.449856,8,2,5064,branch
156250,5000,0.449856,8,4,5720,branch
156250,5000,0.449856,8,8,6800,branch
156250,5000,0.49984,8,1,4877,branch
156250,5000,0.49984,8,2,5413,branch
156250,5000,0.49984,8,4,6187,branch
156250,5000,0.49984,8,8,7208,branch
156250,5000,0.549824,8,1,5129,branch
156250,5000,0.549824,8,2,5752,branch
156250,5000,0.549824,8,4,6503,branch
156250,5000,0.549824,8,8,7572,branch
156250,5000,0.599808,8,1,5460,branch
156250,5000,0.599808,8,2,6064,branch
156250,5000,0.599808,8,4,6812,branch
