tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
1250000,5000,0.0,1,1,15602,branch
1250000,5000,0.05,1,1,23942,branch
1250000,5000,0.1,1,1,33258,branch
1250000,5000,0.15,1,1,42848,branch
1250000,5000,0.2,1,1,53435,branch
1250000,5000,0.25,1,1,63041,branch
1250000,5000,0.3,1,1,72786,branch
1250000,5000,0.35,1,1,82640,branch
1250000,5000,0.4,1,1,92107,branch
1250000,5000,0.45,1,1,101574,branch
1250000,5000,0.5,1,1,109326,branch
1250000,5000,0.55,1,1,116779,branch
1250000,5000,0.6,1,1,123428,branch
1250000,5000,0.65,1,1,130454,branch
1250000,5000,0.7,1,1,137701,branch
1250000,5000,0.75,1,1,145180,branch
1250000,5000,0.8,1,1,152059,branch
1250000,5000,0.85,1,1,160278,branch
1250000,5000,0.9,1,1,168908,branch
1250000,5000,0.95,1,1,176402,branch
1250000,5000,1.0,1,1,185510,branch
156250,5000,0.0,8,1,3194,branch
156250,5000,0.0,8,2,3085,branch
156250,5000,0.0,8,4,4193,branch
156250,5000,0.0,8,8,6090,branch
156250,5000,0.049984,8,1,3316,branch
156250,5000,0.049984,8,2,3920,branch
156250,5000,0.049984,8,4,5050,branch
156250,5000,0.049984,8,8,6970,branch
156250,5000,0.099968,8,1,4091,branch
156250,5000,0.099968,8,2,4725,branch
156250,5000,0.099968,8,4,5884,branch
156250,5000,0.099968,8,8,7744,branch
156250,5000,0.149952,8,1,5029,branch
156250,5000,0.149952,8,2,5619,branch
156250,5000,0.149952,8,4,6801,branch
156250,5000,0.149952,8,8,8662,branch
156250,5000,0.199936,8,1,5956,branch
156250,5000,0.199936,8,2,6578,branch
156250,5000,0.199936,8,4,7724,branch
156250,5000,0.199936,8,8,9599,branch
156250,5000,0.24991999999999998,8,1,7191,branch
156250,5000,0.24991999999999998,8,2,7664,branch
156250,5000,0.24991999999999998,8,4,8839,branch
156250,5000,0.24991999999999998,8,8,10738,branch
156250,5000,0.299904,8,1,8078,branch
156250,5000,0.299904,8,2,8748,branch
156250,5000,0.299904,8,4,9865,branch
156250,5000,0.299904,8,8,11771,branch
156250,5000,0.34988800000000003,8,1,9112,branch
156250,5000,0.34988800000000003,8,2,9851,branch
156250,5000,0.34988800000000003,8,4,11008,branch
156250,5000,0.34988800000000003,8,8,12963,branch
156250,5000,0.399872,8,1,10153,branch
156250,5000,0.399872,8,2,10963,branch
156250,5000,0.399872,8,4,12597,branch
156250,5000,0.399872,8,8,14548,branch
156250,5000,0.44985600000000003,8,1,11131,branch
156250,5000,0.44985600000000003,8,2,11986,branch
156250,5000,0.44985600000000003,8,4,13281,branch
156250,5000,0.44985600000000003,8,8,15284,branch
156250,5000,0.49983999999999995,8,1,12048,branch
156250,5000,0.49983999999999995,8,2,12922,branch
156250,5000,0.49983999999999995,8,4,14351,branch
156250,5000,0.49983999999999995,8,8,16187,branch
156250,5000,0.549824,8,1,12840,branch
156250,5000,0.549824,8,2,13848,branch
156250,5000,0.549824,8,4,15253,branch
156250,5000,0.549824,8,8,17117,branch
156250,5000,0.599808,8,1,13622,branch
156250,5000,0.599808,8,2,14673,branch
156250,5000,0.599808,8,4,16035,branch
156250,5000,0.599808,8,8,17958,branch
156250,5000,0.649792,8,1,14369,branch
156250,5000,0.649792,8,2,15486,branch
156250,5000,0.649792,8,4,16869,branch
156250,5000,0.649792,8,8,19041,branch
156250,5000,0.6997760000000001,8,1,15201,branch
156250,5000,0.6997760000000001,8,2,16326,branch
156250,5000,0.6997760000000001,8,4,17768,branch
156250,5000,0.6997760000000001,8,8,19890,branch
156250,5000,0.74976,8,1,16030,branch
156250,5000,0.74976,8,2,17099,branch
156250,5000,0.74976,8,4,18504,branch
156250,5000,0.74976,8,8,20557,branch
156250,5000,0.799744,8,1,16829,branch
156250,5000,0.799744,8,2,17906,branch
156250,5000,0.799744,8,4,19461,branch
156250,5000,0.799744,8,8,21452,branch
156250,5000,0.849728,8,1,17705,branch
156250,5000,0.849728,8,2,18852,branch
156250,5000,0.849728,8,4,20312,branch
156250,5000,0.849728,8,8,22385,branch
156250,5000,0.8997120000000001,8,1,18624,branch
156250,5000,0.8997120000000001,8,2,19755,branch
156250,5000,0.8997120000000001,8,4,21274,branch
156250,5000,0.8997120000000001,8,8,23302,branch
156250,5000,0.9496959999999999,8,1,19493,branch
156250,5000,0.9496959999999999,8,2,20679,branch
156250,5000,0.9496959999999999,8,4,22140,branch
156250,5000,0.9496959999999999,8,8,24259,branch
156250,5000,0.9996799999999999,8,1,20507,branch
156250,5000,0.9996799999999999,8,2,21630,branch
156250,5000,0.9996799999999999,8,4,22996,branch
156250,5000,0.9996799999999999,8,8,25235,branch
78125,5000,0.0,16,1,2095,branch
78125,5000,0.0,16,2,2072,branch
78125,5000,0.0,16,4,2609,branch
78125,5000,0.0,16,8,3559,branch
78125,5000,0.0,16,16,5537,branch
78125,5000,0.049984,16,1,2194,branch
78125,5000,0.049984,16,2,2526,branch
78125,5000,0.049984,16,4,3017,branch
78125,5000,0.049984,16,8,3963,branch
78125,5000,0.049984,16,16,5992,branch
78125,5000,0.099968,16,1,2667,branch
78125,5000,0.099968,16,2,2939,branch
78125,5000,0.099968,16,4,3454,branch
78125,5000,0.099968,16,8,4388,branch
78125,5000,0.099968,16,16,6431,branch
78125,5000,0.149952,16,1,3045,branch
78125,5000,0.149952,16,2,3384,branch
78125,5000,0.149952,16,4,3927,branch
78125,5000,0.149952,16,8,4943,branch
78125,5000,0.149952,16,16,6928,branch
78125,5000,0.199936,16,1,3511,branch
78125,5000,0.199936,16,2,3863,branch
78125,5000,0.199936,16,4,4366,branch
78125,5000,0.199936,16,8,5292,branch
78125,5000,0.199936,16,16,7389,branch
78125,5000,0.24991999999999998,16,1,3939,branch
78125,5000,0.24991999999999998,16,2,4279,branch
78125,5000,0.24991999999999998,16,4,4820,branch
78125,5000,0.24991999999999998,16,8,5762,branch
78125,5000,0.24991999999999998,16,16,7785,branch
78125,5000,0.299904,16,1,4457,branch
78125,5000,0.299904,16,2,4796,branch
78125,5000,0.299904,16,4,5335,branch
78125,5000,0.299904,16,8,6257,branch
78125,5000,0.299904,16,16,8401,branch
78125,5000,0.34988800000000003,16,1,4936,branch
78125,5000,0.34988800000000003,16,2,5288,branch
78125,5000,0.34988800000000003,16,4,5831,branch
78125,5000,0.34988800000000003,16,8,6777,branch
78125,5000,0.34988800000000003,16,16,8927,branch
78125,5000,0.399872,16,1,5472,branch
78125,5000,0.399872,16,2,5829,branch
78125,5000,0.399872,16,4,6642,branch
78125,5000,0.399872,16,8,7504,branch
78125,5000,0.399872,16,16,9569,branch
78125,5000,0.44985600000000003,16,1,5967,branch
78125,5000,0.44985600000000003,16,2,6452,branch
78125,5000,0.44985600000000003,16,4,6936,branch
78125,5000,0.44985600000000003,16,8,7870,branch
78125,5000,0.44985600000000003,16,16,9943,branch
78125,5000,0.49983999999999995,16,1,6402,branch
78125,5000,0.49983999999999995,16,2,6828,branch
78125,5000,0.49983999999999995,16,4,7424,branch
78125,5000,0.49983999999999995,16,8,8549,branch
78125,5000,0.49983999999999995,16,16,10693,branch
78125,5000,0.549824,16,1,6759,branch
78125,5000,0.549824,16,2,7307,branch
78125,5000,0.549824,16,4,7935,branch
78125,5000,0.549824,16,8,8831,branch
78125,5000,0.549824,16,16,10976,branch
78125,5000,0.599808,16,1,7073,branch
78125,5000,0.599808,16,2,7644,branch
78125,5000,0.599808,16,4,8255,branch
78125,5000,0.599808,16,8,9222,branch
78125,5000,0.599808,16,16,11231,branch
78125,5000,0.649792,16,1,7353,branch
78125,5000,0.649792,16,2,7974,branch
78125,5000,0.649792,16,4,8631,branch
78125,5000,0.649792,16,8,9633,branch
78125,5000,0.649792,16,16,11648,branch
78125,5000,0.6997760000000001,16,1,7691,branch
78125,5000,0.6997760000000001,16,2,8309,branch
78125,5000,0.6997760000000001,16,4,8962,branch
78125,5000,0.6997760000000001,16,8,10018,branch
78125,5000,0.6997760000000001,16,16,12060,branch
78125,5000,0.74976,16,1,8061,branch
78125,5000,0.74976,16,2,8704,branch
78125,5000,0.74976,16,4,9415,branch
78125,5000,0.74976,16,8,10455,branch
78125,5000,0.74976,16,16,12486,branch
78125,5000,0.799744,16,1,8433,branch
78125,5000,0.799744,16,2,9056,branch
78125,5000,0.799744,16,4,9767,branch
78125,5000,0.799744,16,8,10846,branch
78125,5000,0.799744,16,16,13264,branch
78125,5000,0.849728,16,1,8789,branch
78125,5000,0.849728,16,2,9437,branch
78125,5000,0.849728,16,4,10378,branch
78125,5000,0.849728,16,8,11235,branch
78125,5000,0.849728,16,16,13261,branch
78125,5000,0.8997120000000001,16,1,9173,branch
78125,5000,0.8997120000000001,16,2,9896,branch
78125,5000,0.8997120000000001,16,4,10565,branch
78125,5000,0.8997120000000001,16,8,11671,branch
78125,5000,0.8997120000000001,16,16,13712,branch
78125,5000,0.9496959999999999,16,1,9512,branch
78125,5000,0.9496959999999999,16,2,10183,branch
78125,5000,0.9496959999999999,16,4,10967,branch
78125,5000,0.9496959999999999,16,8,12358,branch
78125,5000,0.9496959999999999,16,16,14822,branch
78125,5000,0.9996799999999999,16,1,10269,branch
78125,5000,0.9996799999999999,16,2,10697,branch
78125,5000,0.9996799999999999,16,4,11413,branch
78125,5000,0.9996799999999999,16,8,12658,branch
78125,5000,0.9996799999999999,16,16,14632,branch
2500000,10000,0.0,1,1,30725,branch
2500000,10000,0.05,1,1,50406,branch
2500000,10000,0.1,1,1,69692,branch
2500000,10000,0.15,1,1,90119,branch
2500000,10000,0.2,1,1,111597,branch
2500000,10000,0.25,1,1,131509,branch
2500000,10000,0.3,1,1,152333,branch
2500000,10000,0.35,1,1,174031,branch
2500000,10000,0.4,1,1,196589,branch
2500000,10000,0.45,1,1,218814,branch
2500000,10000,0.5,1,1,241655,branch
2500000,10000,0.55,1,1,264203,branch
2500000,10000,0.6,1,1,288088,branch
2500000,10000,0.65,1,1,313166,branch
2500000,10000,0.7,1,1,341168,branch
2500000,10000,0.75,1,1,365227,branch
2500000,10000,0.8,1,1,396918,branch
2500000,10000,0.85,1,1,424665,branch
2500000,10000,0.9,1,1,452825,branch
2500000,10000,0.95,1,1,482316,branch
2500000,10000,1.0,1,1,512606,branch
312500,10000,0.0,8,1,6435,branch
312500,10000,0.0,8,2,6368,branch
312500,10000,0.0,8,4,8535,branch
312500,10000,0.0,8,8,12288,branch
312500,10000,0.05,8,1,7347,branch
312500,10000,0.05,8,2,8490,branch
312500,10000,0.05,8,4,10662,branch
312500,10000,0.05,8,8,14370,branch
312500,10000,0.1,8,1,10416,branch
312500,10000,0.1,8,2,11793,branch
312500,10000,0.1,8,4,13087,branch
312500,10000,0.1,8,8,16771,branch
312500,10000,0.15,8,1,12448,branch
312500,10000,0.15,8,2,13812,branch
312500,10000,0.15,8,4,15797,branch
312500,10000,0.15,8,8,19519,branch
312500,10000,0.2,8,1,14789,branch
312500,10000,0.2,8,2,16146,branch
312500,10000,0.2,8,4,18151,branch
312500,10000,0.2,8,8,21819,branch
312500,10000,0.25,8,1,17180,branch
312500,10000,0.25,8,2,18968,branch
312500,10000,0.25,8,4,20764,branch
312500,10000,0.25,8,8,24388,branch
312500,10000,0.3,8,1,19501,branch
312500,10000,0.3,8,2,21092,branch
312500,10000,0.3,8,4,23128,branch
312500,10000,0.3,8,8,26824,branch
312500,10000,0.35,8,1,22017,branch
312500,10000,0.35,8,2,23568,branch
312500,10000,0.35,8,4,25652,branch
312500,10000,0.35,8,8,29508,branch
312500,10000,0.4,8,1,24534,branch
312500,10000,0.4,8,2,26140,branch
312500,10000,0.4,8,4,28333,branch
312500,10000,0.4,8,8,32012,branch
312500,10000,0.45,8,1,26850,branch
312500,10000,0.45,8,2,28691,branch
312500,10000,0.45,8,4,30804,branch
312500,10000,0.45,8,8,34533,branch
312500,10000,0.5,8,1,29205,branch
312500,10000,0.5,8,2,30941,branch
312500,10000,0.5,8,4,33226,branch
312500,10000,0.5,8,8,36784,branch
312500,10000,0.55,8,1,31084,branch
312500,10000,0.55,8,2,33015,branch
312500,10000,0.55,8,4,35219,branch
312500,10000,0.55,8,8,39240,branch
312500,10000,0.6,8,1,33066,branch
312500,10000,0.6,8,2,35087,branch
312500,10000,0.6,8,4,37459,branch
312500,10000,0.6,8,8,42883,branch
312500,10000,0.65,8,1,34825,branch
312500,10000,0.65,8,2,36817,branch
312500,10000,0.65,8,4,39163,branch
312500,10000,0.65,8,8,43135,branch
312500,10000,0.7,8,1,36991,branch
312500,10000,0.7,8,2,39446,branch
312500,10000,0.7,8,4,41087,branch
312500,10000,0.7,8,8,45662,branch
312500,10000,0.75,8,1,38780,branch
312500,10000,0.75,8,2,40775,branch
312500,10000,0.75,8,4,43016,branch
312500,10000,0.75,8,8,47180,branch
312500,10000,0.8,8,1,41058,branch
312500,10000,0.8,8,2,42996,branch
312500,10000,0.8,8,4,45332,branch
312500,10000,0.8,8,8,49251,branch
312500,10000,0.85,8,1,42752,branch
312500,10000,0.85,8,2,44777,branch
312500,10000,0.85,8,4,47319,branch
312500,10000,0.85,8,8,51620,branch
312500,10000,0.9,8,1,45098,branch
312500,10000,0.9,8,2,46963,branch
312500,10000,0.9,8,4,49460,branch
312500,10000,0.9,8,8,53803,branch
312500,10000,0.95,8,1,46760,branch
312500,10000,0.95,8,2,48416,branch
312500,10000,0.95,8,4,51277,branch
312500,10000,0.95,8,8,55593,branch
312500,10000,1.0,8,1,49264,branch
312500,10000,1.0,8,2,51115,branch
312500,10000,1.0,8,4,53792,branch
