tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
1250000,5000,0,1,1,8474,branch
1250000,5000,0.05,1,1,11526,branch
1250000,5000,0.1,1,1,9590,branch
1250000,5000,0.15,1,1,10710,branch
1250000,5000,0.2,1,1,11752,branch
1250000,5000,0.25,1,1,13069,branch
1250000,5000,0.3,1,1,14456,branch
1250000,5000,0.35,1,1,15768,branch
1250000,5000,0.4,1,1,16523,branch
1250000,5000,0.45,1,1,17353,branch
1250000,5000,0.5,1,1,18897,branch
1250000,5000,0.55,1,1,18461,branch
1250000,5000,0.6,1,1,19257,branch
1250000,5000,0.65,1,1,17682,branch
1250000,5000,0.7,1,1,17227,branch
1250000,5000,0.75,1,1,16431,branch
1250000,5000,0.8,1,1,15690,branch
1250000,5000,0.85,1,1,15162,branch
1250000,5000,0.9,1,1,14734,branch
1250000,5000,0.95,1,1,14522,branch
1250000,5000,1,1,1,14119,branch
156250,5000,0,8,1,1400,branch
156250,5000,0,8,2,1745,branch
156250,5000,0,8,4,2151,branch
156250,5000,0,8,8,3213,branch
156250,5000,0.049984,8,1,1457,branch
156250,5000,0.049984,8,2,1812,branch
156250,5000,0.049984,8,4,2188,branch
156250,5000,0.049984,8,8,3173,branch
156250,5000,0.099968,8,1,1564,branch
156250,5000,0.099968,8,2,1981,branch
156250,5000,0.099968,8,4,2329,branch
156250,5000,0.099968,8,8,3394,branch
156250,5000,0.149952,8,1,1635,branch
156250,5000,0.149952,8,2,2087,branch
156250,5000,0.149952,8,4,2801,branch
156250,5000,0.149952,8,8,3680,branch
156250,5000,0.199936,8,1,1843,branch
156250,5000,0.199936,8,2,2227,branch
156250,5000,0.199936,8,4,2563,branch
156250,5000,0.199936,8,8,3574,branch
156250,5000,0.24992,8,1,1913,branch
156250,5000,0.24992,8,2,2360,branch
156250,5000,0.24992,8,4,2762,branch
156250,5000,0.24992,8,8,4007,branch
156250,5000,0.299904,8,1,2138,branch
156250,5000,0.299904,8,2,2527,branch
156250,5000,0.299904,8,4,2808,branch
156250,5000,0.299904,8,8,3842,branch
156250,5000,0.349888,8,1,2271,branch
156250,5000,0.349888,8,2,2660,branch
156250,5000,0.349888,8,4,3007,branch
156250,5000,0.349888,8,8,4115,branch
156250,5000,0.399872,8,1,2439,branch
156250,5000,0.399872,8,2,2802,branch
156250,5000,0.399872,8,4,3216,branch
156250,5000,0.399872,8,8,4277,branch
156250,5000,0.449856,8,1,2524,branch
156250,5000,0.449856,8,2,3018,branch
156250,5000,0.449856,8,4,3546,branch
156250,5000,0.449856,8,8,4562,branch
156250,5000,0.49984,8,1,2525,branch
156250,5000,0.49984,8,2,3023,branch
156250,5000,0.49984,8,4,3755,branch
156250,5000,0.49984,8,8,4715,branch
156250,5000,0.549824,8,1,2544,branch
156250,5000,0.549824,8,2,3030,branch
156250,5000,0.549824,8,4,3473,branch
156250,5000,0.549824,8,8,4424,branch
156250,5000,0.599808,8,1,2537,branch
156250,5000,0.599808,8,2,3039,branch
156250,5000,0.599808,8,4,3373,branch
156250,5000,0.599808,8,8,4369,branch
156250,5000,0.649792,8,1,2474,branch
156250,5000,0.649792,8,2,3054,branch
156250,5000,0.649792,8,4,3330,branch
156250,5000,0.649792,8,8,4292,branch
