tablerows,tablesizekb,selectivity,tuplewidth,attrInPred,runtime,operator
64000000,256000,0,1,1,500889,branch
64000000,256000,0.05,1,1,600262,branch
64000000,256000,0.1,1,1,675707,branch
64000000,256000,0.15,1,1,761481,branch
64000000,256000,0.2,1,1,848052,branch
64000000,256000,0.25,1,1,931686,branch
64000000,256000,0.3,1,1,1017771,branch
64000000,256000,0.35,1,1,1100098,branch
64000000,256000,0.4,1,1,1182394,branch
64000000,256000,0.45,1,1,1255131,branch
64000000,256000,0.5,1,1,1306331,branch
64000000,256000,0.55,1,1,1335915,branch
64000000,256000,0.6,1,1,1341459,branch
64000000,256000,0.65,1,1,1333633,branch
64000000,256000,0.7,1,1,1325680,branch
64000000,256000,0.75,1,1,1320641,branch
64000000,256000,0.8,1,1,1318768,branch
64000000,256000,0.85,1,1,1323007,branch
64000000,256000,0.9,1,1,1372184,branch
64000000,256000,0.95,1,1,1330003,branch
64000000,256000,1,1,1,1337054,branch
8000000,256000,0,8,1,201757,branch
8000000,256000,0,8,2,223308,branch
8000000,256000,0,8,4,241879,branch
8000000,256000,0,8,8,300056,branch
8000000,256000,0.05,8,1,213262,branch
8000000,256000,0.05,8,2,235182,branch
8000000,256000,0.05,8,4,253781,branch
8000000,256000,0.05,8,8,313535,branch
8000000,256000,0.1,8,1,222837,branch
8000000,256000,0.1,8,2,244849,branch
8000000,256000,0.1,8,4,263891,branch
8000000,256000,0.1,8,8,323631,branch
8000000,256000,0.15,8,1,232938,branch
8000000,256000,0.15,8,2,255630,branch
8000000,256000,0.15,8,4,274475,branch
8000000,256000,0.15,8,8,333669,branch
8000000,256000,0.2,8,1,243722,branch
8000000,256000,0.2,8,2,266531,branch
8000000,256000,0.2,8,4,284443,branch
8000000,256000,0.2,8,8,349785,branch
8000000,256000,0.25,8,1,254897,branch
8000000,256000,0.25,8,2,277720,branch
8000000,256000,0.25,8,4,294921,branch
8000000,256000,0.25,8,8,354455,branch
8000000,256000,0.3,8,1,266577,branch
8000000,256000,0.3,8,2,288529,branch
8000000,256000,0.3,8,4,305435,branch
8000000,256000,0.3,8,8,366978,branch
8000000,256000,0.35,8,1,275280,branch
8000000,256000,0.35,8,2,299934,branch
8000000,256000,0.35,8,4,317699,branch
8000000,256000,0.35,8,8,376917,branch
8000000,256000,0.4,8,1,285303,branch
8000000,256000,0.4,8,2,310900,branch
8000000,256000,0.4,8,4,328877,branch
8000000,256000,0.4,8,8,388355,branch
8000000,256000,0.45,8,1,294460,branch
8000000,256000,0.45,8,2,320190,branch
8000000,256000,0.45,8,4,338831,branch
8000000,256000,0.45,8,8,400267,branch
8000000,256000,0.5,8,1,300189,branch
8000000,256000,0.5,8,2,328400,branch
8000000,256000,0.5,8,4,346996,branch
8000000,256000,0.5,8,8,406734,branch
8000000,256000,0.55,8,1,303696,branch
8000000,256000,0.55,8,2,332478,branch
8000000,256000,0.55,8,4,351240,branch
8000000,256000,0.55,8,8,410637,branch
8000000,256000,0.6,8,1,304718,branch
8000000,256000,0.6,8,2,334446,branch
8000000,256000,0.6,8,4,358093,branch
8000000,256000,0.6,8,8,413754,branch
8000000,256000,0.65,8,1,304070,branch
8000000,256000,0.65,8,2,334119,branch
8000000,256000,0.65,8,4,353285,branch
8000000,256000,0.65,8,8,412647,branch
8000000,256000,0.7,8,1,303947,branch
8000000,256000,0.7,8,2,333278,branch
8000000,256000,0.7,8,4,354330,branch
8000000,256000,0.7,8,8,412305,branch
8000000,256000,0.75,8,1,303620,branch
8000000,256000,0.75,8,2,330471,branch
8000000,256000,0.75,8,4,354504,branch
8000000,256000,0.75,8,8,412716,branch
8000000,256000,0.8,8,1,303831,branch
8000000,256000,0.8,8,2,328091,branch
8000000,256000,0.8,8,4,355282,branch
8000000,256000,0.8,8,8,412750,branch
8000000,256000,0.85,8,1,304549,branch
8000000,256000,0.85,8,2,326898,branch
8000000,256000,0.85,8,4,356590,branch
8000000,256000,0.85,8,8,413795,branch
8000000,256000,0.9,8,1,305617,branch
8000000,256000,0.9,8,2,325426,branch
8000000,256000,0.9,8,4,356822,branch
8000000,256000,0.9,8,8,414261,branch
8000000,256000,0.95,8,1,306754,branch
8000000,256000,0.95,8,2,325483,branch
8000000,256000,0.95,8,4,361219,branch
8000000,256000,0.95,8,8,419497,branch
8000000,256000,1,8,1,307240,branch
8000000,256000,1,8,2,323839,branch
8000000,256000,1,8,4,358164,branch
8000000,256000,1,8,8,423901,branch
4000000,256000,0,16,1,186026,branch
4000000,256000,0,16,2,196689,branch
4000000,256000,0,16,4,204850,branch
4000000,256000,0,16,8,231610,branch
4000000,256000,0,16,16,291690,branch
4000000,256000,0.05,16,1,193112,branch
4000000,256000,0.05,16,2,203337,branch
4000000,256000,0.05,16,4,210794,branch
4000000,256000,0.05,16,8,239930,branch
4000000,256000,0.05,16,16,300902,branch
4000000,256000,0.1,16,1,198281,branch
4000000,256000,0.1,16,2,208734,branch
4000000,256000,0.1,16,4,215297,branch
4000000,256000,0.1,16,8,244208,branch
4000000,256000,0.1,16,16,305584,branch
4000000,256000,0.15,16,1,203641,branch
4000000,256000,0.15,16,2,215138,branch
4000000,256000,0.15,16,4,220494,branch
4000000,256000,0.15,16,8,249072,branch
4000000,256000,0.15,16,16,310390,branch
4000000,256000,0.2,16,1,209386,branch
4000000,256000,0.2,16,2,220931,branch
4000000,256000,0.2,16,4,225921,branch
4000000,256000,0.2,16,8,254391,branch
4000000,256000,0.2,16,16,321523,branch
4000000,256000,0.25,16,1,215514,branch
4000000,256000,0.25,16,2,226227,branch
4000000,256000,0.25,16,4,231761,branch
4000000,256000,0.25,16,8,259733,branch
4000000,256000,0.25,16,16,321400,branch
4000000,256000,0.3,16,1,220403,branch
4000000,256000,0.3,16,2,231885,branch
4000000,256000,0.3,16,4,237404,branch
4000000,256000,0.3,16,8,265195,branch
4000000,256000,0.3,16,16,325969,branch
4000000,256000,0.35,16,1,225301,branch
4000000,256000,0.35,16,2,238322,branch
4000000,256000,0.35,16,4,242820,branch
4000000,256000,0.35,16,8,270839,branch
4000000,256000,0.35,16,16,331941,branch
4000000,256000,0.4,16,1,230542,branch
4000000,256000,0.4,16,2,243562,branch
4000000,256000,0.4,16,4,248519,branch
4000000,256000,0.4,16,8,276902,branch
4000000,256000,0.4,16,16,337467,branch
4000000,256000,0.45,16,1,235147,branch
4000000,256000,0.45,16,2,249424,branch
4000000,256000,0.45,16,4,254733,branch
4000000,256000,0.45,16,8,282888,branch
4000000,256000,0.45,16,16,343725,branch
4000000,256000,0.5,16,1,238388,branch
4000000,256000,0.5,16,2,252354,branch
4000000,256000,0.5,16,4,258898,branch
4000000,256000,0.5,16,8,286613,branch
4000000,256000,0.5,16,16,347461,branch
4000000,256000,0.55,16,1,240026,branch
4000000,256000,0.55,16,2,254703,branch
4000000,256000,0.55,16,4,259932,branch
4000000,256000,0.55,16,8,286813,branch
4000000,256000,0.55,16,16,350085,branch
4000000,256000,0.6,16,1,240000,branch
4000000,256000,0.6,16,2,255350,branch
4000000,256000,0.6,16,4,261102,branch
4000000,256000,0.6,16,8,287244,branch
4000000,256000,0.6,16,16,350733,branch
4000000,256000,0.65,16,1,240526,branch
4000000,256000,0.65,16,2,254530,branch
4000000,256000,0.65,16,4,261847,branch
4000000,256000,0.65,16,8,287794,branch
4000000,256000,0.65,16,16,351371,branch
4000000,256000,0.7,16,1,240798,branch
4000000,256000,0.7,16,2,254457,branch
4000000,256000,0.7,16,4,262260,branch
4000000,256000,0.7,16,8,288287,branch
4000000,256000,0.7,16,16,352538,branch
4000000,256000,0.75,16,1,241703,branch
4000000,256000,0.75,16,2,253839,branch
4000000,256000,0.75,16,4,262704,branch
4000000,256000,0.75,16,8,289600,branch
4000000,256000,0.75,16,16,352726,branch
4000000,256000,0.8,16,1,242253,branch
4000000,256000,0.8,16,2,253152,branch
4000000,256000,0.8,16,4,263085,branch
4000000,256000,0.8,16,8,290053,branch
4000000,256000,0.8,16,16,353360,branch
4000000,256000,0.85,16,1,243553,branch
4000000,256000,0.85,16,2,254168,branch
4000000,256000,0.85,16,4,264719,branch
4000000,256000,0.85,16,8,291622,branch
4000000,256000,0.85,16,16,354457,branch
4000000,256000,0.9,16,1,245464,branch
4000000,256000,0.9,16,2,253373,branch
4000000,256000,0.9,16,4,265309,branch
4000000,256000,0.9,16,8,292261,branch
4000000,256000,0.9,16,16,355483,branch
4000000,256000,0.95,16,1,248020,branch
4000000,256000,0.95,16,2,253519,branch
4000000,256000,0.95,16,4,266520,branch
4000000,256000,0.95,16,8,293453,branch
4000000,256000,0.95,16,16,356292,branch
4000000,256000,1,16,1,252467,branch
4000000,256000,1,16,2,256787,branch
4000000,256000,1,16,4,266097,branch
4000000,256000,1,16,8,293201,branch
4000000,256000,1,16,16,357193,branch
128000000,512000,0,1,1,1001347,branch
128000000,512000,0.05,1,1,1187352,branch
128000000,512000,0.1,1,1,1348787,branch
128000000,512000,0.15,1,1,1515897,branch
128000000,512000,0.2,1,1,1712837,branch
128000000,512000,0.25,1,1,1857389,branch
128000000,512000,0.3,1,1,2057793,branch
128000000,512000,0.35,1,1,2333122,branch
128000000,512000,0.4,1,1,2354225,branch
128000000,512000,0.45,1,1,2498366,branch
128000000,512000,0.5,1,1,2599472,branch
128000000,512000,0.55,1,1,2657173,branch
128000000,512000,0.6,1,1,2682023,branch
128000000,512000,0.65,1,1,2645739,branch
128000000,512000,0.7,1,1,2626073,branch
128000000,512000,0.75,1,1,2614467,branch
128000000,512000,0.8,1,1,2609723,branch
128000000,512000,0.85,1,1,2612974,branch
128000000,512000,0.9,1,1,2618920,branch
128000000,512000,0.95,1,1,2621528,branch
128000000,512000,1,1,1,2636209,branch
16000000,512000,0,8,1,401191,branch
16000000,512000,0,8,2,443228,branch
16000000,512000,0,8,4,481917,branch
16000000,512000,0,8,8,596742,branch
16000000,512000,0.05,8,1,426593,branch
16000000,512000,0.05,8,2,468064,branch
16000000,512000,0.05,8,4,505856,branch
16000000,512000,0.05,8,8,625044,branch
16000000,512000,0.1,8,1,443945,branch
16000000,512000,0.1,8,2,488395,branch
16000000,512000,0.1,8,4,526266,branch
16000000,512000,0.1,8,8,645898,branch
16000000,512000,0.15,8,1,485596,branch
16000000,512000,0.15,8,2,537629,branch
16000000,512000,0.15,8,4,551834,branch
16000000,512000,0.15,8,8,667404,branch
16000000,512000,0.2,8,1,485211,branch
16000000,512000,0.2,8,2,531066,branch
16000000,512000,0.2,8,4,567308,branch
16000000,512000,0.2,8,8,699138,branch
16000000,512000,0.25,8,1,506485,branch
16000000,512000,0.25,8,2,552252,branch
16000000,512000,0.25,8,4,587951,branch
16000000,512000,0.25,8,8,707699,branch
16000000,512000,0.3,8,1,527785,branch
16000000,512000,0.3,8,2,577070,branch
16000000,512000,0.3,8,4,610022,branch
16000000,512000,0.3,8,8,730386,branch
16000000,512000,0.35,8,1,548204,branch
16000000,512000,0.35,8,2,596805,branch
16000000,512000,0.35,8,4,632031,branch
16000000,512000,0.35,8,8,752776,branch
16000000,512000,0.4,8,1,568688,branch
16000000,512000,0.4,8,2,618978,branch
16000000,512000,0.4,8,4,655206,branch
16000000,512000,0.4,8,8,776168,branch
16000000,512000,0.45,8,1,586086,branch
16000000,512000,0.45,8,2,638323,branch
16000000,512000,0.45,8,4,678637,branch
16000000,512000,0.45,8,8,800738,branch
16000000,512000,0.5,8,1,598646,branch
16000000,512000,0.5,8,2,654636,branch
16000000,512000,0.5,8,4,691671,branch
16000000,512000,0.5,8,8,812889,branch
16000000,512000,0.55,8,1,604763,branch
16000000,512000,0.55,8,2,661191,branch
16000000,512000,0.55,8,4,699887,branch
16000000,512000,0.55,8,8,820338,branch
16000000,512000,0.6,8,1,606763,branch
16000000,512000,0.6,8,2,664951,branch
16000000,512000,0.6,8,4,705975,branch
16000000,512000,0.6,8,8,823898,branch
16000000,512000,0.65,8,1,605024,branch
16000000,512000,0.65,8,2,665172,branch
16000000,512000,0.65,8,4,705214,branch
16000000,512000,0.65,8,8,822612,branch
16000000,512000,0.7,8,1,604430,branch
16000000,512000,0.7,8,2,661924,branch
16000000,512000,0.7,8,4,713115,branch
16000000,512000,0.7,8,8,823059,branch
16000000,512000,0.75,8,1,602895,branch
16000000,512000,0.75,8,2,657556,branch
16000000,512000,0.75,8,4,706710,branch
16000000,512000,0.75,8,8,822356,branch
16000000,512000,0.8,8,1,604213,branch
16000000,512000,0.8,8,2,653149,branch
16000000,512000,0.8,8,4,707674,branch
16000000,512000,0.8,8,8,823223,branch
16000000,512000,0.85,8,1,605142,branch
16000000,512000,0.85,8,2,649641,branch
16000000,512000,0.85,8,4,709182,branch
